案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,彰化縣,彰化縣線西鄉,線西鄉,"2,540","5,284","7,824",561,"8,385","14,065"
第14案,彰化縣,彰化縣伸港鄉,伸港鄉,"4,690","11,464","16,154","1,123","17,277","30,407"
第14案,彰化縣,彰化縣福興鄉,福興鄉,"5,670","14,443","20,113","1,517","21,630","39,745"
第14案,彰化縣,彰化縣秀水鄉,秀水鄉,"5,339","12,780","18,119","1,157","19,276","32,394"
第14案,彰化縣,彰化縣花壇鄉,花壇鄉,"6,356","15,329","21,685","1,327","23,012","38,924"
第14案,彰化縣,彰化縣芬園鄉,芬園鄉,"3,275","7,341","10,616",775,"11,391","20,408"
第14案,彰化縣,彰化縣員林市,員林市,"16,826","38,432","55,258","2,885","58,143","102,028"
第14案,彰化縣,彰化縣溪湖鎮,溪湖鎮,"7,098","17,714","24,812","1,524","26,336","45,147"
第14案,彰化縣,彰化縣田中鎮,田中鎮,"5,233","13,929","19,162","1,370","20,532","35,391"
第14案,彰化縣,彰化縣大村鄉,大村鄉,"4,826","12,656","17,482","1,082","18,564","31,492"
第14案,彰化縣,彰化縣埔鹽鄉,埔鹽鄉,"3,951","11,787","15,738","1,185","16,923","28,026"
第14案,彰化縣,彰化縣埔心鄉,埔心鄉,"4,971","12,155","17,126","1,166","18,292","29,642"
第14案,彰化縣,彰化縣永靖鄉,永靖鄉,"5,312","12,160","17,472","1,183","18,655","31,239"
第14案,彰化縣,彰化縣社頭鄉,社頭鄉,"5,559","14,208","19,767","1,223","20,990","36,306"
第14案,彰化縣,彰化縣二水鄉,二水鄉,"2,210","5,233","7,443",631,"8,074","13,339"
第14案,彰化縣,彰化縣北斗鎮,北斗鎮,"4,468","10,677","15,145","1,019","16,164","27,593"
第14案,彰化縣,彰化縣二林鎮,二林鎮,"5,654","15,454","21,108","1,588","22,696","42,976"
第14案,彰化縣,彰化縣田尾鄉,田尾鄉,"3,604","9,306","12,910",861,"13,771","23,179"
第14案,彰化縣,彰化縣埤頭鄉,埤頭鄉,"3,697","9,130","12,827","1,227","14,054","25,677"
第14案,彰化縣,彰化縣芳苑鄉,芳苑鄉,"3,302","9,846","13,148","1,267","14,415","29,291"
第14案,彰化縣,彰化縣大城鄉,大城鄉,"1,268","3,990","5,258",495,"5,753","14,713"
第14案,彰化縣,彰化縣竹塘鄉,竹塘鄉,"1,708","4,713","6,421",551,"6,972","12,821"
第14案,彰化縣,彰化縣溪州鄉,溪州鄉,"3,786","8,329","12,115","1,054","13,169","25,405"
第14案,南投縣,南投縣南投市,南投市,"13,599","35,060","48,659","2,561","51,220","84,328"
第14案,南投縣,南投縣埔里鎮,埔里鎮,"9,897","27,617","37,514","2,304","39,818","68,763"
第14案,南投縣,南投縣草屯鎮,草屯鎮,"13,144","32,838","45,982","2,329","48,311","82,922"
第14案,南投縣,南投縣竹山鎮,竹山鎮,"6,548","17,847","24,395","1,714","26,109","47,034"
第14案,南投縣,南投縣集集鎮,集集鎮,"1,468","3,726","5,194",385,"5,579","9,611"
第14案,南投縣,南投縣名間鄉,名間鄉,"5,059","13,700","18,759","1,355","20,114","33,408"
第14案,南投縣,南投縣鹿谷鄉,鹿谷鄉,"2,541","5,431","7,972",552,"8,524","15,941"
第14案,南投縣,南投縣中寮鄉,中寮鄉,"1,881","5,238","7,119",518,"7,637","13,181"
第14案,南投縣,南投縣魚池鄉,魚池鄉,"2,215","4,904","7,119",507,"7,626","13,958"
第14案,南投縣,南投縣國姓鄉,國姓鄉,"2,278","6,513","8,791",613,"9,404","16,597"
第14案,南投縣,南投縣水里鄉,水里鄉,"2,209","5,887","8,096",564,"8,660","15,458"
第14案,南投縣,南投縣信義鄉,信義鄉,"1,752","5,884","7,636",583,"8,219","13,299"
第14案,南投縣,南投縣仁愛鄉,仁愛鄉,"1,833","4,971","6,804",375,"7,179","12,589"
第14案,雲林縣,雲林縣斗六市,斗六市,"14,769","34,352","49,121","2,328","51,449","89,761"
第14案,雲林縣,雲林縣斗南鎮,斗南鎮,"6,245","14,041","20,286","1,395","21,681","38,138"
第14案,雲林縣,雲林縣虎尾鎮,虎尾鎮,"8,894","20,574","29,468","1,670","31,138","58,167"
第14案,雲林縣,雲林縣西螺鎮,西螺鎮,"5,739","12,903","18,642","1,609","20,251","38,142"
第14案,雲林縣,雲林縣土庫鎮,土庫鎮,"3,521","8,220","11,741","1,105","12,846","24,412"
第14案,雲林縣,雲林縣北港鎮,北港鎮,"5,355","11,642","16,997","1,559","18,556","33,958"
第14案,雲林縣,雲林縣古坑鄉,古坑鄉,"3,823","9,653","13,476","1,066","14,542","27,477"
第14案,雲林縣,雲林縣大埤鄉,大埤鄉,"2,326","5,471","7,797",685,"8,482","16,509"
第14案,雲林縣,雲林縣莿桐鄉,莿桐鄉,"3,806","8,512","12,318","1,193","13,511","24,570"
第14案,雲林縣,雲林縣林內鄉,林內鄉,"2,451","5,524","7,975",845,"8,820","15,551"
第14案,雲林縣,雲林縣二崙鄉,二崙鄉,"3,016","7,007","10,023","1,122","11,145","23,367"
第14案,雲林縣,雲林縣崙背鄉,崙背鄉,"2,900","6,510","9,410",829,"10,239","21,050"
第14案,雲林縣,雲林縣麥寮鄉,麥寮鄉,"4,892","11,932","16,824","1,402","18,226","37,119"
第14案,雲林縣,雲林縣東勢鄉,東勢鄉,"1,805","4,192","5,997",600,"6,597","13,239"
第14案,雲林縣,雲林縣褒忠鄉,褒忠鄉,"1,690","3,767","5,457",410,"5,867","11,381"
第14案,雲林縣,雲林縣臺西鄉,臺西鄉,"2,308","6,511","8,819",862,"9,681","21,125"
第14案,雲林縣,雲林縣元長鄉,元長鄉,"2,580","6,422","9,002",848,"9,850","22,830"
第14案,雲林縣,雲林縣四湖鄉,四湖鄉,"2,046","5,442","7,488",800,"8,288","20,983"
第14案,雲林縣,雲林縣口湖鄉,口湖鄉,"2,889","7,343","10,232","1,240","11,472","24,193"
第14案,雲林縣,雲林縣水林鄉,水林鄉,"2,789","6,007","8,796",973,"9,769","22,508"
第14案,嘉義縣,嘉義縣太保市,太保市,"4,847","10,763","15,610","1,198","16,808","31,568"
第14案,嘉義縣,嘉義縣朴子市,朴子市,"5,003","11,776","16,779","1,431","18,210","35,191"
第14案,嘉義縣,嘉義縣布袋鎮,布袋鎮,"2,878","7,679","10,557","1,111","11,668","23,965"
第14案,嘉義縣,嘉義縣大林鎮,大林鎮,"3,920","9,033","12,953",988,"13,941","26,922"
第14案,嘉義縣,嘉義縣民雄鄉,民雄鄉,"9,608","20,757","30,365","2,454","32,819","61,209"
第14案,嘉義縣,嘉義縣溪口鄉,溪口鄉,"1,945","4,013","5,958",710,"6,668","13,105"
第14案,嘉義縣,嘉義縣新港鄉,新港鄉,"4,181","9,079","13,260","1,436","14,696","27,342"
第14案,嘉義縣,嘉義縣六腳鄉,六腳鄉,"2,355","5,572","7,927",846,"8,773","20,821"
第14案,嘉義縣,嘉義縣東石鄉,東石鄉,"2,032","5,889","7,921",963,"8,884","21,915"
第14案,嘉義縣,嘉義縣義竹鄉,義竹鄉,"2,239","5,294","7,533",865,"8,398","16,647"
第14案,嘉義縣,嘉義縣鹿草鄉,鹿草鄉,"1,839","3,973","5,812",755,"6,567","13,937"
第14案,嘉義縣,嘉義縣水上鄉,水上鄉,"6,509","14,932","21,441","1,798","23,239","43,857"
第14案,嘉義縣,嘉義縣中埔鄉,中埔鄉,"5,013","11,948","16,961","1,386","18,347","39,139"
第14案,嘉義縣,嘉義縣竹崎鄉,竹崎鄉,"4,207","10,831","15,038","1,092","16,130","31,228"
第14案,嘉義縣,嘉義縣梅山鄉,梅山鄉,"2,473","6,061","8,534",856,"9,390","17,083"
第14案,嘉義縣,嘉義縣番路鄉,番路鄉,"1,364","3,923","5,287",394,"5,681","10,156"
第14案,嘉義縣,嘉義縣大埔鄉,大埔鄉,612,"1,454","2,066",121,"2,187","3,999"
第14案,嘉義縣,嘉義縣阿里山鄉,阿里山鄉,437,"1,639","2,076",112,"2,188","4,691"
第14案,屏東縣,屏東縣屏東市,屏東市,"26,847","59,054","85,901","4,615","90,516","170,148"
第14案,屏東縣,屏東縣潮州鎮,潮州鎮,"6,776","15,936","22,712","1,538","24,250","46,444"
