案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,高雄市,高雄市永安區,永安區,"2,115","4,960","7,075",501,"7,576","12,001"
第14案,高雄市,高雄市彌陀區,彌陀區,"3,231","6,147","9,378",837,"10,215","16,487"
第14案,高雄市,高雄市梓官區,梓官區,"5,333","11,730","17,063","1,155","18,218","31,025"
第14案,高雄市,高雄市旗山區,旗山區,"5,161","11,400","16,561","1,326","17,887","31,996"
第14案,高雄市,高雄市美濃區,美濃區,"4,763","13,154","17,917","1,568","19,485","35,311"
第14案,高雄市,高雄市六龜區,六龜區,"1,414","3,476","4,890",591,"5,481","11,501"
第14案,高雄市,高雄市甲仙區,甲仙區,681,"1,759","2,440",245,"2,685","5,417"
第14案,高雄市,高雄市杉林區,杉林區,"1,180","3,386","4,566",432,"4,998","10,607"
第14案,高雄市,高雄市內門區,內門區,"1,561","4,042","5,603",614,"6,217","13,002"
第14案,高雄市,高雄市茂林區,茂林區,233,837,"1,070",43,"1,113","1,615"
第14案,高雄市,高雄市桃源區,桃源區,395,"1,376","1,771",75,"1,846","3,498"
第14案,高雄市,高雄市那瑪夏區,那瑪夏區,285,"1,201","1,486",117,"1,603","2,424"
第14案,新北市,新北市板橋區,板橋區,"88,512","158,751","247,263","15,343","262,606","463,411"
第14案,新北市,新北市三重區,三重區,"62,307","109,279","171,586","12,940","184,526","329,846"
第14案,新北市,新北市中和區,中和區,"63,839","124,418","188,257","9,944","198,201","355,978"
第14案,新北市,新北市永和區,永和區,"36,235","69,918","106,153","4,925","111,078","187,798"
第14案,新北市,新北市新莊區,新莊區,"66,304","118,755","185,059","11,384","196,443","344,981"
第14案,新北市,新北市新店區,新店區,"47,379","95,746","143,125","6,697","149,822","264,053"
第14案,新北市,新北市樹林區,樹林區,"27,613","52,060","79,673","4,595","84,268","152,102"
第14案,新北市,新北市鶯歌區,鶯歌區,"12,235","23,842","36,077","1,985","38,062","71,645"
第14案,新北市,新北市三峽區,三峽區,"15,839","31,579","47,418","2,464","49,882","94,291"
第14案,新北市,新北市淡水區,淡水區,"26,961","47,281","74,242","3,608","77,850","147,272"
第14案,新北市,新北市汐止區,汐止區,"31,677","55,598","87,275","4,707","91,982","173,831"
第14案,新北市,新北市瑞芳區,瑞芳區,"4,937","10,761","15,698","1,317","17,015","35,036"
第14案,新北市,新北市土城區,土城區,"36,847","67,566","104,413","5,912","110,325","200,783"
第14案,新北市,新北市蘆洲區,蘆洲區,"30,458","54,275","84,733","5,146","89,879","167,457"
第14案,新北市,新北市五股區,五股區,"12,563","24,051","36,614","2,267","38,881","72,443"
第14案,新北市,新北市泰山區,泰山區,"11,483","22,314","33,797","1,789","35,586","64,252"
第14案,新北市,新北市林口區,林口區,"16,387","29,678","46,065","2,208","48,273","86,203"
第14案,新北市,新北市深坑區,深坑區,"3,779","6,991","10,770",587,"11,357","20,624"
第14案,新北市,新北市石碇區,石碇區,"1,015","2,155","3,170",300,"3,470","6,861"
第14案,新北市,新北市坪林區,坪林區,828,"1,904","2,732",293,"3,025","5,891"
第14案,新北市,新北市三芝區,三芝區,"3,073","6,026","9,099",671,"9,770","20,119"
第14案,新北市,新北市石門區,石門區,"1,535","3,352","4,887",570,"5,457","10,528"
第14案,新北市,新北市八里區,八里區,"5,618","10,819","16,437","1,047","17,484","32,970"
第14案,新北市,新北市平溪區,平溪區,523,"1,348","1,871",207,"2,078","4,321"
第14案,新北市,新北市雙溪區,雙溪區,"1,051","2,456","3,507",376,"3,883","7,999"
第14案,新北市,新北市貢寮區,貢寮區,"1,379","3,133","4,512",455,"4,967","11,279"
第14案,新北市,新北市金山區,金山區,"2,654","5,944","8,598","1,046","9,644","18,978"
第14案,新北市,新北市萬里區,萬里區,"2,471","6,352","8,823",795,"9,618","19,297"
第14案,新北市,新北市烏來區,烏來區,810,"1,938","2,748",112,"2,860","5,264"
第14案,臺中市,臺中市中區,中區,"2,451","5,329","7,780",489,"8,269","14,696"
第14案,臺中市,臺中市東區,東區,"11,817","24,192","36,009","2,003","38,012","64,291"
第14案,臺中市,臺中市南區,南區,"20,611","39,862","60,473","3,253","63,726","103,643"
第14案,臺中市,臺中市西區,西區,"18,475","34,789","53,264","2,577","55,841","95,040"
第14案,臺中市,臺中市北區,北區,"22,588","44,811","67,399","3,166","70,565","124,621"
第14案,臺中市,臺中市西屯區,西屯區,"34,071","67,645","101,716","4,986","106,702","183,814"
第14案,臺中市,臺中市南屯區,南屯區,"26,220","52,042","78,262","3,769","82,031","135,448"
第14案,臺中市,臺中市北屯區,北屯區,"40,045","85,010","125,055","5,636","130,691","227,720"
第14案,臺中市,臺中市豐原區,豐原區,"23,853","53,873","77,726","4,566","82,292","136,658"
第14案,臺中市,臺中市東勢區,東勢區,"6,038","17,546","23,584","1,865","25,449","43,181"
第14案,臺中市,臺中市大甲區,大甲區,"10,111","23,943","34,054","2,346","36,400","63,069"
第14案,臺中市,臺中市清水區,清水區,"12,030","27,156","39,186","2,752","41,938","71,528"
第14案,臺中市,臺中市沙鹿區,沙鹿區,"12,165","27,773","39,938","2,330","42,268","74,207"
第14案,臺中市,臺中市梧棲區,梧棲區,"7,603","17,622","25,225","1,685","26,910","47,040"
第14案,臺中市,臺中市后里區,后里區,"7,155","17,267","24,422","1,819","26,241","44,962"
第14案,臺中市,臺中市神岡區,神岡區,"8,920","21,601","30,521","2,080","32,601","54,565"
第14案,臺中市,臺中市潭子區,潭子區,"15,517","33,540","49,057","2,556","51,613","89,487"
第14案,臺中市,臺中市大雅區,大雅區,"12,308","29,879","42,187","2,229","44,416","77,189"
第14案,臺中市,臺中市新社區,新社區,"2,779","7,819","10,598",667,"11,265","20,860"
第14案,臺中市,臺中市石岡區,石岡區,"1,890","5,229","7,119",531,"7,650","12,880"
第14案,臺中市,臺中市外埔區,外埔區,"3,965","10,906","14,871",999,"15,870","27,059"
第14案,臺中市,臺中市大安區,大安區,"2,478","6,446","8,924",810,"9,734","16,520"
第14案,臺中市,臺中市烏日區,烏日區,"10,429","23,671","34,100","2,151","36,251","61,705"
第14案,臺中市,臺中市大肚區,大肚區,"7,711","18,322","26,033","1,711","27,744","47,457"
第14案,臺中市,臺中市龍井區,龍井區,"10,845","23,194","34,039","1,946","35,985","63,584"
第14案,臺中市,臺中市霧峰區,霧峰區,"8,969","22,232","31,201","2,261","33,462","55,225"
第14案,臺中市,臺中市太平區,太平區,"24,875","57,165","82,040","4,681","86,721","157,926"
第14案,臺中市,臺中市大里區,大里區,"28,448","63,477","91,925","4,937","96,862","171,769"
第14案,臺中市,臺中市和平區,和平區,"1,190","4,486","5,676",327,"6,003","9,498"
第14案,臺南市,臺南市新營區,新營區,"10,002","20,659","30,661","1,697","32,358","64,949"
第14案,臺南市,臺南市鹽水區,鹽水區,"3,142","6,633","9,775",858,"10,633","22,121"
第14案,臺南市,臺南市白河區,白河區,"3,182","6,671","9,853",901,"10,754","24,894"
第14案,臺南市,臺南市柳營區,柳營區,"2,607","5,834","8,441",866,"9,307","18,804"
第14案,臺南市,臺南市後壁區,後壁區,"2,733","5,938","8,671",964,"9,635","20,841"
第14案,臺南市,臺南市東山區,東山區,"1,904","4,405","6,309",686,"6,995","18,471"
第14案,臺南市,臺南市麻豆區,麻豆區,"6,054","11,606","17,660",991,"18,651","37,963"
第14案,臺南市,臺南市下營區,下營區,"2,968","6,079","9,047",811,"9,858","20,947"
第14案,臺南市,臺南市六甲區,六甲區,"2,846","5,630","8,476",805,"9,281","19,144"
第14案,臺南市,臺南市官田區,官田區,"3,074","5,324","8,398",692,"9,090","18,675"
第14案,臺南市,臺南市大內區,大內區,"1,076","2,658","3,734",419,"4,153","8,654"
第14案,臺南市,臺南市佳里區,佳里區,"7,962","16,801","24,763","1,644","26,407","50,407"
第14案,臺南市,臺南市學甲區,學甲區,"3,070","6,899","9,969",739,"10,708","22,567"
第14案,臺南市,臺南市西港區,西港區,"3,094","6,473","9,567",608,"10,175","21,564"
第14案,臺南市,臺南市七股區,七股區,"2,603","5,898","8,501",631,"9,132","19,950"
第14案,臺南市,臺南市將軍區,將軍區,"2,193","5,225","7,418",517,"7,935","17,754"
第14案,臺南市,臺南市北門區,北門區,"1,237","2,600","3,837",258,"4,095","9,925"
第14案,臺南市,臺南市新化區,新化區,"5,988","12,714","18,702","1,443","20,145","37,296"
第14案,臺南市,臺南市善化區,善化區,"6,753","12,468","19,221","1,254","20,475","39,950"
第14案,臺南市,臺南市新市區,新市區,"4,981","10,371","15,352",957,"16,309","30,386"
第14案,臺南市,臺南市安定區,安定區,"4,048","8,901","12,949","1,132","14,081","26,104"
第14案,臺南市,臺南市山上區,山上區,852,"1,766","2,618",255,"2,873","6,511"
第14案,臺南市,臺南市玉井區,玉井區,"1,543","4,001","5,544",469,"6,013","12,357"
第14案,臺南市,臺南市楠西區,楠西區,892,"2,621","3,513",334,"3,847","8,528"
第14案,臺南市,臺南市南化區,南化區,974,"2,417","3,391",327,"3,718","7,786"
第14案,臺南市,臺南市左鎮區,左鎮區,447,"1,308","1,755",231,"1,986","4,418"
第14案,臺南市,臺南市仁德區,仁德區,"10,442","22,130","32,572","1,886","34,458","64,632"
第14案,臺南市,臺南市歸仁區,歸仁區,"9,985","18,947","28,932","1,603","30,535","57,387"
第14案,臺南市,臺南市關廟區,關廟區,"4,616","10,284","14,900","1,039","15,939","29,913"
第14案,臺南市,臺南市龍崎區,龍崎區,483,"1,180","1,663",151,"1,814","3,713"
第14案,臺南市,臺南市永康區,永康區,"32,872","63,632","96,504","4,864","101,368","195,001"
第14案,臺南市,臺南市東區,東區,"27,901","52,576","80,477","3,521","83,998","153,359"
第14案,臺南市,臺南市南區,南區,"17,491","35,260","52,751","3,296","56,047","108,650"
第14案,臺南市,臺南市北區,北區,"19,963","37,147","57,110","2,775","59,885","110,906"
第14案,臺南市,臺南市安南區,安南區,"26,267","52,189","78,456","5,141","83,597","159,654"
第14案,臺南市,臺南市安平區,安平區,"9,422","17,626","27,048","1,183","28,231","55,379"
第14案,臺南市,臺南市中西區,中西區,"12,063","22,317","34,380","1,921","36,301","65,261"
第14案,桃園市,桃園市桃園區,桃園區,"60,327","114,427","174,754","7,782","182,536","359,790"
第14案,桃園市,桃園市中壢區,中壢區,"53,274","115,313","168,587","7,636","176,223","334,402"
第14案,桃園市,桃園市大溪區,大溪區,"11,844","26,711","38,555","2,818","41,373","78,285"
第14案,桃園市,桃園市楊梅區,楊梅區,"19,418","47,700","67,118","3,315","70,433","137,917"
第14案,桃園市,桃園市蘆竹區,蘆竹區,"20,705","41,836","62,541","3,072","65,613","129,252"
第14案,桃園市,桃園市大園區,大園區,"11,241","23,944","35,185","1,753","36,938","73,900"
第14案,桃園市,桃園市龜山區,龜山區,"21,039","40,715","61,754","3,114","64,868","131,702"
第14案,桃園市,桃園市八德區,八德區,"25,238","53,665","78,903","4,498","83,401","165,065"
第14案,桃園市,桃園市龍潭區,龍潭區,"14,882","36,956","51,838","2,571","54,409","101,574"
第14案,桃園市,桃園市平鎮區,平鎮區,"29,045","64,386","93,431","4,155","97,586","183,560"
第14案,桃園市,桃園市新屋區,新屋區,"6,086","15,647","21,733","1,409","23,142","41,461"
第14案,桃園市,桃園市觀音區,觀音區,"8,076","18,134","26,210","1,669","27,879","55,149"
第14案,桃園市,桃園市復興區,復興區,967,"4,060","5,027",291,"5,318","9,766"
